DEBUG: General     , 1734858453328> 37,400,365,982> LoggerManager.init                  > Initializing...
LOG  : General     , 1734858453377> 37,400,366,022> cachedir set to "/mnt/zomboid/profile/Zomboid"
LOG  : General     , 1734858453474> 37,400,366,119> version=41.78.16 demo=false
LOG  : General     , 1734858453475> 37,400,366,120> revision= date= time=
LOG  : General     , 1734858453475> 37,400,366,120> unknown option "-steamport1"
LOG  : General     , 1734858453475> 37,400,366,121> unknown option "10170"
LOG  : General     , 1734858453476> 37,400,366,121> unknown option "-steamport2"
LOG  : General     , 1734858453476> 37,400,366,121> unknown option "10171"
LOG  : General     , 1734858453479> 37,400,366,124> server name is "servertest"
LOG  : General     , 1734858453480> 37,400,366,125> checking server WorldVersion in map_t.bin
LOG  : General     , 1734858453482> 37,400,366,127> Loading networking libraries...
LOG  : General     , 1734858453482> 37,400,366,127> Loading steam_api...
LOG  : General     , 1734858453483> 37,400,366,128> Loading RakNet64...
LOG  : General     , 1734858453484> 37,400,366,129> Loading ZNetJNI64...
LOG  : Network     , 1734858453486> 37,400,366,132> [22-12-24 09:07:33.486] > ZNet: SetLogLevel 2
LOG  : Network     , 1734858453488> 37,400,366,133> [22-12-24 09:07:33.488] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1734858453488> 37,400,366,134> SteamUtils initialised successfully
LOG  : General     , 1734858453914> 37,400,366,559> translator: language is EN
LOG  : General     , 1734858454108> 37,400,366,753> LightingFPS set to 15
LOG  : General     , 1734858454130> 37,400,366,776> reading /mnt/zomboid/profile/Zomboid/Server/servertest.ini
LOG  : General     , 1734858454133> 37,400,366,778> writing /mnt/zomboid/profile/Zomboid/Server/servertest.ini
LOG  : Network     , 1734858454146> 37,400,366,792> [22-12-24 09:07:34.146] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1734858454238> 37,400,366,883> [22-12-24 09:07:34.238] > ZNet: SteamGameServer seems to be initialized
